Number	Standard_concentration	Sample	Amount_ugperL_fucose	Amount_ugperL_rhamnose	Amount_ugperL_galactosamine	Amount_ugperL_arabinose	Amount_ugperL_glucosamine	Amount_ugperL_galactose	Amount_ugperL_glucose	Amount_ugperL_mannose	Amount_ugperL_xylose	Amount_ugperL_gluconicacid	Amount_ugperL_muramicacid	Amount_ugperL_galacturonicacid	Amount_ugperL_glucuronicacid	Amount_ugperL_mannuronicacid	Amount_ugperL_iduronicacid
48	NA	S-WC6E	619.311	217.192	0.000	0.0000	88.858	312.623	634.634	0.000	1588.102	23.577	0.000	144.472	126.420	142.4242	0.0000
49	NA	S-WC6I	837.790	174.389	0.000	0.0000	167.414	464.413	1015.749	0.000	2288.294	31.410	0.000	151.380	192.688	111.0396	0.0000
50	NA	Dialysis_blank	0.000	0.000	0.000	0.0000	0.000	19.245	662.982	0.000	2451.049	7.743	0.000	0.000	0.000	55.4116	0.0000
51	0.002000	Standard	242.531	196.290	140.607	170.4520	153.862	195.154	269.641	248.021	233.484	189.096	235.493	193.699	209.993	154.4648	125.4783
52	NA	S-WC7E	2765.891	142.826	0.000	0.0000	130.774	4021.823	1067.105	0.000	2562.971	23.721	0.000	172.085	273.998	111.9178	0.0000
53	NA	S-WC8E	922.833	188.977	0.000	0.0000	146.908	596.346	823.870	0.000	2198.676	24.362	0.000	136.633	200.003	83.9833	0.0000
54	NA	S-WC8I	2087.332	360.513	0.000	0.0000	282.818	1489.151	1475.399	0.000	3171.585	42.415	0.000	302.589	394.952	128.3499	0.0000
55	NA	S-WC9E	3411.021	75.558	0.000	0.0000	95.089	5281.481	1002.957	0.000	2457.373	22.784	0.000	182.842	268.265	110.6836	0.0000
56	NA	S-WC9I	1176.906	70.902	23.310	0.0000	99.223	1003.282	754.844	0.000	1762.967	19.898	0.000	174.272	161.703	83.5326	0.0000
57	NA	BlankHB1	720.315	8.561	0.000	0.0000	14.739	175.158	844.183	0.000	2392.583	12.648	0.000	296.528	60.891	56.6679	0.0000
58	NA	BlankHB2	1245.271	4.195	0.000	0.0000	4.191	405.571	510.468	0.000	1854.824	48.732	0.000	203.696	249.108	85.3147	0.0000
59	NA	erroneous_run	1302.997	17.484	0.000	0.0000	31.238	285.099	1006.953	0.000	2920.160	0.000	0.000	0.000	0.000	0.0000	0.0000
60	NA	erroneous_run	0.000	0.000	6.766	0.0000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.0000	0.0000
61	NA	Blank	0.000	0.000	0.000	0.0000	0.000	0.000	0.000	0.000	0.000	0.000	43.678	0.000	0.000	0.0000	0.0000
62	0.000400	Standard	0.000	0.000	0.000	0.0000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.0000	0.0000
63	0.010000	Standard	1121.871	941.592	697.769	797.4869	758.174	947.797	1345.462	1143.661	1115.137	940.647	1116.228	922.503	1129.569	810.2977	614.4580
64	NA	Dialysis_blank	0.000	0.000	0.000	0.0000	0.000	14.834	661.438	0.000	2474.372	12.707	0.000	0.000	0.000	0.0000	0.0000
65	NA	BlankHB4	1491.856	12.669	0.000	0.0000	30.535	1452.918	4078.203	0.000	8513.070	19.610	0.000	336.787	0.000	46.3946	0.0000
66	NA	BlankHB5	1458.698	13.291	0.000	0.0000	18.672	814.030	482.818	0.000	1269.581	16.714	0.000	107.397	161.863	34.1336	0.0000
67	NA	BlankHB6	1202.996	7.665	0.000	0.0000	18.017	956.845	559.271	0.000	1774.697	11.875	0.000	239.621	154.112	39.8618	0.0000
68	NA	LowSTD1	1447.651	0.911	0.000	0.0000	7.310	441.910	2122.006	0.000	7165.164	28.372	0.000	239.348	290.581	42.6696	0.0000
69	NA	LowSTD2	1329.266	18.110	0.000	0.0000	18.470	233.067	850.041	0.000	2605.325	13.343	0.000	259.104	117.524	40.6302	0.0000
70	NA	LowSTD3	1093.850	2.683	3.035	0.0000	0.000	153.609	473.473	0.000	1501.673	11.024	0.000	155.761	132.782	39.0717	0.0000
71	NA	HighSTD1	2668.870	0.000	7.482	0.0000	1.427	222.790	558.265	0.000	2084.686	15.232	0.000	147.259	133.363	53.1976	0.0000
72	NA	HighSTD2	2974.555	6.317	0.000	0.0000	17.229	268.470	517.943	0.000	1588.416	14.922	0.000	164.748	141.161	49.7442	0.0000
73	NA	HighSTD3	8917.348	0.000	62.340	0.0000	29.073	2198.848	3046.152	0.000	11193.576	29.580	0.000	144.883	174.341	43.3999	0.0000
74	NA	Dialysis_blank	0.000	0.000	0.000	0.0000	0.000	31.352	915.571	0.000	3586.035	9.635	0.000	0.000	0.000	17.1681	0.0000
75	0.002000	Standard	252.289	206.831	146.343	173.3584	152.156	200.379	270.996	256.484	235.094	191.666	240.016	170.956	257.082	166.4113	119.9928
76	NA	Dialysis_blank	0.000	0.000	0.000	0.0000	0.000	58.747	1239.184	0.000	4842.590	18.699	0.000	0.000	0.000	12.7233	0.0000
77	NA	Dialysis_blank	0.362	0.000	4.996	0.0000	0.000	53.300	1270.345	0.000	5140.150	12.215	0.000	0.000	0.000	12.2098	0.0000
78	NA	Dialysis_blank	4.571	0.000	0.000	0.0000	3.270	72.727	1643.404	6539.570	0.000	14.377	0.000	0.000	0.000	16.0634	0.0000
79	0.010000	Standard	1139.247	934.794	688.989	795.1235	743.595	927.542	1324.860	1119.061	1084.895	932.961	1210.943	996.696	1151.718	729.6654	607.9075
80	0.001000	Standard	0.000	0.000	0.000	0.0000	0.000	0.000	0.000	0.000	0.000	75.228	0.000	90.067	0.000	0.0000	46.6878
